Mon Jun 01 22:35:18 CEST 2020 ; class client.Server ; WARNING ; Server socket turned on;
Mon Jun 01 22:35:18 CEST 2020 ; class client.Main ; WARNING ; Initialization of listening socket;
Mon Jun 01 22:35:18 CEST 2020 ; class client.ClientSocket ; WARNING ; Socket de connexion du client vers le serveur connecté;
Mon Jun 01 22:35:18 CEST 2020 ; class client.Dialogue ; INFO ; Nouveau client: IP: /192.168.56.1;port d'Ã©coute 51471
Mon Jun 01 22:35:18 CEST 2020 ; class client.Main ; WARNING ; Client connexion enable;
Mon Jun 01 22:35:18 CEST 2020 ; class client.Main ; WARNING ; Client connexion enable;
Mon Jun 01 22:35:26 CEST 2020 ; class client.Dialogue ; INFO ; Client choosed : add music on server;
Mon Jun 01 22:35:26 CEST 2020 ; class client.Dialogue ; INFO ; Client choosed : add music on server;
Mon Jun 01 22:35:29 CEST 2020 ; class client.Dialogue ; INFO ; Music choice: 1;
Mon Jun 01 22:35:29 CEST 2020 ; class client.Dialogue ; INFO ; Music choice: 1;
Mon Jun 01 22:35:29 CEST 2020 ; class client.Dialogue ; INFO ; Music choice: 1;
Mon Jun 01 22:35:29 CEST 2020 ; class client.Dialogue ; INFO ; Client connected;
Mon Jun 01 22:35:29 CEST 2020 ; class client.Dialogue ; INFO ; Client connected;
Mon Jun 01 22:35:29 CEST 2020 ; class client.Dialogue ; INFO ; Client connected;
Mon Jun 01 22:35:29 CEST 2020 ; class client.Dialogue ; INFO ; Client connected;
Mon Jun 01 22:35:29 CEST 2020 ; class client.SimpleAudioPlayer ; INFO ; Streaming go on;
Mon Jun 01 22:35:29 CEST 2020 ; class client.Dialogue ; INFO ; Début du streaming;C:\Users\Quentin\Documents\MusiqueJava02\audio - Copie (4).wav
Mon Jun 01 22:35:29 CEST 2020 ; class client.Dialogue ; INFO ; Début du streaming;C:\Users\Quentin\Documents\MusiqueJava02\audio - Copie (4).wav
Mon Jun 01 22:35:29 CEST 2020 ; class client.Dialogue ; INFO ; Début du streaming;C:\Users\Quentin\Documents\MusiqueJava02\audio - Copie (4).wav
Mon Jun 01 22:35:29 CEST 2020 ; class client.Dialogue ; INFO ; Début du streaming;C:\Users\Quentin\Documents\MusiqueJava02\audio - Copie (4).wav
Mon Jun 01 22:35:29 CEST 2020 ; class client.Dialogue ; INFO ; Début du streaming;C:\Users\Quentin\Documents\MusiqueJava02\audio - Copie (4).wav
