Sat Jun 06 19:32:10 CEST 2020 ; class server.Server ; WARNING ; Listen socket created; ; 
Sat Jun 06 19:32:22 CEST 2020 ; class server.Server ; WARNING ; Client listen socket turned on; ; 
Sat Jun 06 19:32:22 CEST 2020 ; class server.Server ; WARNING ; Client listen socket turned on; ; 
Sat Jun 06 19:32:22 CEST 2020 ; class server.Server ; WARNING ; Client 0 connected; ; 
Sat Jun 06 19:32:22 CEST 2020 ; class server.Server ; WARNING ; Client 0 connected; ; 
Sat Jun 06 19:32:22 CEST 2020 ; class server.Server ; WARNING ; Client 0 connected; ; 
Sat Jun 06 19:32:31 CEST 2020 ; class server.ClientS ; SEVERE ; Impossible to read list;java.net.SocketException: Connection reset ; 
Sat Jun 06 19:32:31 CEST 2020 ; class server.ClientS ; INFO ; Music list added on server music list; ; 
Sat Jun 06 19:32:31 CEST 2020 ; class server.ClientS ; INFO ; Music list added on server music list; ; 
Sat Jun 06 19:32:31 CEST 2020 ; class server.ClientS ; SEVERE ; Music list sharing crashed;java.net.SocketException: Connection reset by peer ; 
Sat Jun 06 19:32:31 CEST 2020 ; class server.ClientS ; SEVERE ; Music list sharing crashed;java.net.SocketException: Connection reset by peer ; 
Sat Jun 06 19:32:31 CEST 2020 ; class server.ClientS ; SEVERE ; Music list sharing crashed;java.net.SocketException: Connection reset by peer ; 
Sat Jun 06 19:32:31 CEST 2020 ; class server.ClientS ; INFO ; Music list shared with client; ; 
Sat Jun 06 19:32:31 CEST 2020 ; class server.ClientS ; INFO ; Music list shared with client; ; 
Sat Jun 06 19:32:31 CEST 2020 ; class server.ClientS ; INFO ; Music list shared with client; ; 
Sat Jun 06 19:32:31 CEST 2020 ; class server.ClientS ; INFO ; Music list shared with client; ; 
Sat Jun 06 19:32:31 CEST 2020 ; class server.ClientS ; INFO ; Communication with client : OK;Lists exchanged ; 
Sat Jun 06 19:32:31 CEST 2020 ; class server.ClientS ; INFO ; Communication with client : OK;Lists exchanged ; 
Sat Jun 06 19:32:31 CEST 2020 ; class server.ClientS ; INFO ; Communication with client : OK;Lists exchanged ; 
Sat Jun 06 19:32:31 CEST 2020 ; class server.ClientS ; INFO ; Communication with client : OK;Lists exchanged ; 
Sat Jun 06 19:32:31 CEST 2020 ; class server.ClientS ; INFO ; Communication with client : OK;Lists exchanged ; 
Sat Jun 06 19:34:58 CEST 2020 ; class server.Server ; WARNING ; Listen socket created; ; 
Sat Jun 06 19:35:08 CEST 2020 ; class server.Server ; WARNING ; Client listen socket turned on; ; 
Sat Jun 06 19:35:08 CEST 2020 ; class server.Server ; WARNING ; Client listen socket turned on; ; 
Sat Jun 06 19:35:08 CEST 2020 ; class server.Server ; WARNING ; Client 0 connected; ; 
Sat Jun 06 19:35:08 CEST 2020 ; class server.Server ; WARNING ; Client 0 connected; ; 
Sat Jun 06 19:35:08 CEST 2020 ; class server.Server ; WARNING ; Client 0 connected; ; 
