Mon Jun 01 22:40:20 CEST 2020 ; class server.Server ; WARNING ; Listen socket created; ; 
Mon Jun 01 22:40:23 CEST 2020 ; class server.Server ; WARNING ; Client listen socket turned on; ; 
Mon Jun 01 22:40:23 CEST 2020 ; class server.Server ; WARNING ; Client listen socket turned on; ; 
Mon Jun 01 22:40:23 CEST 2020 ; class server.Server ; WARNING ; Client 1 connected; ; 
Mon Jun 01 22:40:23 CEST 2020 ; class server.Server ; WARNING ; Client 1 connected; ; 
Mon Jun 01 22:40:23 CEST 2020 ; class server.Server ; WARNING ; Client 1 connected; ; 
Mon Jun 01 22:40:33 CEST 2020 ; class server.ClientS ; INFO ; Music list added on server music list; ; 
Mon Jun 01 22:40:33 CEST 2020 ; class server.ClientS ; INFO ; Music list shared with client; ; 
Mon Jun 01 22:40:33 CEST 2020 ; class server.ClientS ; INFO ; Music list shared with client; ; 
Mon Jun 01 22:40:33 CEST 2020 ; class server.ClientS ; INFO ; Communication with client : OK;Lists exchanged ; 
Mon Jun 01 22:40:33 CEST 2020 ; class server.ClientS ; INFO ; Communication with client : OK;Lists exchanged ; 
Mon Jun 01 22:40:33 CEST 2020 ; class server.ClientS ; INFO ; Communication with client : OK;Lists exchanged ; 
